date,facility_id,facility_name,country_code,item_code,generic_name,atc_code,consumption,stock_remaining,rainfall_mm,active_epidemic_cases,is_holiday,is_district_hospital
2026-05-20,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,149.8,1702,0.6,2,0,1
2026-05-21,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,166.7,1595,1.8,2,0,1
2026-05-22,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,102.2,1303,0.6,1,0,1
2026-05-23,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,88.4,449,5.4,0,1,1
2026-05-24,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,105.4,1379,0.1,2,1,1
2026-05-25,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,160.1,916,1.9,2,0,1
2026-05-26,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,190.8,1703,0.6,2,0,1
2026-05-27,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,165.7,375,7.7,2,0,1
2026-05-28,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,166.6,2038,0.3,2,0,1
2026-05-29,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,139.5,1672,1.3,3,0,1
2026-05-30,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,66.9,744,0.6,1,1,1
2026-05-31,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,78.8,156,4.5,0,1,1
2026-06-01,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,197.8,402,5.1,3,0,1
2026-06-02,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,197.9,605,3.7,3,0,1
2026-06-03,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,182.1,843,0.6,3,0,1
2026-06-04,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,235.5,257,16.2,1,0,1
2026-06-05,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,153.0,572,2.0,2,0,1
2026-06-06,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,140.5,334,11.6,5,1,1
2026-06-07,PHC-PUN-001,Shirur Sub-District Hospital,IND,MED-PCM-500,Paracetamol 500mg,N02BE01,93.0,688,4.3,0,1,1
