Asset_ID,Name,Sector,Expected_Return,Volatility,Trans_Cost,ESG_Score,Initial_Weight
A01,Asset_01,US Equities,0.0749,0.2924,0.0011,92,0.02
A02,Asset_02,Global Fixed Income,0.1441,0.2438,0.0035,60,0.02
A03,Asset_03,Real Estate,0.1178,0.2849,0.0023,78,0.02
A04,Asset_04,Commodities,0.1018,0.2737,0.003,61,0.02
A05,Asset_05,Emerging Markets,0.0487,0.1995,0.0046,85,0.02
A06,Asset_06,US Equities,0.0487,0.2805,0.002,91,0.02
A07,Asset_07,Global Fixed Income,0.037,0.0721,0.0026,65,0.02
A08,Asset_08,Real Estate,0.1339,0.099,0.004,91,0.02
A09,Asset_09,Commodities,0.1021,0.0613,0.0019,63,0.02
A10,Asset_10,Emerging Markets,0.115,0.1313,0.0013,70,0.02
A11,Asset_11,US Equities,0.0325,0.1472,0.0022,76,0.02
A12,Asset_12,Global Fixed Income,0.1464,0.1178,0.0016,97,0.02
A13,Asset_13,Real Estate,0.1299,0.2572,0.0047,83,0.02
A14,Asset_14,Commodities,0.0555,0.1392,0.0042,64,0.02
A15,Asset_15,Emerging Markets,0.0518,0.1202,0.0035,93,0.02
A16,Asset_16,US Equities,0.052,0.1857,0.0045,65,0.02
A17,Asset_17,Global Fixed Income,0.0665,0.0852,0.0042,81,0.02
A18,Asset_18,Real Estate,0.093,0.2505,0.0017,70,0.02
A19,Asset_19,Commodities,0.0818,0.0686,0.0046,75,0.02
A20,Asset_20,Emerging Markets,0.0649,0.2967,0.0032,92,0.02
A21,Asset_21,US Equities,0.1034,0.2431,0.0042,68,0.02
A22,Asset_22,Global Fixed Income,0.0467,0.0997,0.0046,65,0.02
A23,Asset_23,Real Estate,0.0651,0.0514,0.0023,75,0.02
A24,Asset_24,Commodities,0.074,0.2539,0.0014,88,0.02
A25,Asset_25,Emerging Markets,0.0847,0.2267,0.0019,62,0.02
A26,Asset_26,US Equities,0.1242,0.2323,0.0027,79,0.02
A27,Asset_27,Global Fixed Income,0.054,0.2428,0.0043,95,0.02
A28,Asset_28,Real Estate,0.0917,0.0685,0.0044,78,0.02
A29,Asset_29,Commodities,0.1011,0.1396,0.001,85,0.02
A30,Asset_30,Emerging Markets,0.0356,0.079,0.003,62,0.02
A31,Asset_31,US Equities,0.1029,0.2658,0.0027,78,0.02
A32,Asset_32,Global Fixed Income,0.0505,0.2058,0.0019,79,0.02
A33,Asset_33,Real Estate,0.0378,0.1327,0.0015,91,0.02
A34,Asset_34,Commodities,0.1439,0.0659,0.0024,66,0.02
A35,Asset_35,Emerging Markets,0.1459,0.1277,0.0048,92,0.02
A36,Asset_36,US Equities,0.127,0.1313,0.0023,98,0.02
A37,Asset_37,Global Fixed Income,0.0666,0.2324,0.0031,77,0.02
A38,Asset_38,Real Estate,0.0417,0.2094,0.0038,60,0.02
A39,Asset_39,Commodities,0.1121,0.2718,0.0025,70,0.02
A40,Asset_40,Emerging Markets,0.0828,0.1681,0.0049,87,0.02
A41,Asset_41,US Equities,0.0446,0.0799,0.0048,84,0.02
A42,Asset_42,Global Fixed Income,0.0894,0.2283,0.002,82,0.02
A43,Asset_43,Real Estate,0.0341,0.2402,0.003,90,0.02
A44,Asset_44,Commodities,0.1391,0.1903,0.0022,89,0.02
A45,Asset_45,Emerging Markets,0.0611,0.2427,0.0021,94,0.02
A46,Asset_46,US Equities,0.1095,0.1734,0.0011,66,0.02
A47,Asset_47,Global Fixed Income,0.0674,0.1807,0.0034,75,0.02
A48,Asset_48,Real Estate,0.0924,0.1569,0.003,85,0.02
A49,Asset_49,Commodities,0.0956,0.0564,0.0012,61,0.02
A50,Asset_50,Emerging Markets,0.0522,0.077,0.0021,60,0.02
