order_id,default_dc,sales_value,penalty,sku_demand
ORDER_1,DC_A,301.01,451.52,"{""SKU_5"": 9, ""SKU_2"": 4, ""SKU_3"": 3}"
ORDER_2,DC_D,91.29,136.94,"{""SKU_7"": 9, ""SKU_5"": 4}"
ORDER_3,DC_A,16.96,25.44,"{""SKU_6"": 1, ""SKU_1"": 6, ""SKU_4"": 7}"
ORDER_4,DC_A,201.12,301.68,"{""SKU_2"": 10, ""SKU_4"": 6}"
ORDER_5,DC_C,123.13,184.69,"{""SKU_8"": 7}"
ORDER_6,DC_A,350.36,525.53,"{""SKU_8"": 3, ""SKU_3"": 4, ""SKU_5"": 9}"
ORDER_7,DC_D,23.87,35.8,"{""SKU_5"": 6, ""SKU_7"": 4, ""SKU_9"": 3}"
ORDER_8,DC_A,20.26,30.39,"{""SKU_8"": 2, ""SKU_2"": 3, ""SKU_1"": 3}"
ORDER_9,DC_A,74.39,111.59,"{""SKU_7"": 7, ""SKU_2"": 10, ""SKU_10"": 8}"
ORDER_10,DC_B,34.42,51.63,"{""SKU_5"": 2, ""SKU_9"": 9, ""SKU_1"": 5}"
ORDER_11,DC_C,15.02,22.54,"{""SKU_6"": 7, ""SKU_2"": 3, ""SKU_5"": 8}"
ORDER_12,DC_A,45.63,68.44,"{""SKU_5"": 9}"
ORDER_13,DC_B,153.79,230.69,"{""SKU_9"": 2}"
ORDER_14,DC_A,72.2,108.3,"{""SKU_5"": 3, ""SKU_9"": 6, ""SKU_4"": 3}"
ORDER_15,DC_C,10.0,15.0,"{""SKU_9"": 8, ""SKU_1"": 1, ""SKU_6"": 2}"
ORDER_16,DC_C,18.7,28.04,"{""SKU_5"": 1, ""SKU_4"": 4}"
ORDER_17,DC_A,297.37,446.05,"{""SKU_2"": 2, ""SKU_10"": 9, ""SKU_8"": 3}"
ORDER_18,DC_E,165.23,247.85,"{""SKU_8"": 9}"
ORDER_19,DC_A,10.28,15.42,"{""SKU_5"": 9}"
ORDER_20,DC_C,58.01,87.01,"{""SKU_7"": 5, ""SKU_4"": 7, ""SKU_9"": 6}"
ORDER_21,DC_A,68.35,102.53,"{""SKU_9"": 2, ""SKU_8"": 4}"
ORDER_22,DC_A,240.04,360.06,"{""SKU_2"": 6}"
ORDER_23,DC_A,108.63,162.94,"{""SKU_10"": 9}"
ORDER_24,DC_A,73.41,110.12,"{""SKU_10"": 4}"
ORDER_25,DC_B,20.44,30.66,"{""SKU_2"": 1}"
ORDER_26,DC_E,149.22,223.84,"{""SKU_2"": 1}"
ORDER_27,DC_E,225.22,337.82,"{""SKU_2"": 4, ""SKU_9"": 5}"
ORDER_28,DC_C,254.94,382.42,"{""SKU_8"": 10, ""SKU_4"": 10, ""SKU_3"": 8}"
ORDER_29,DC_A,21.81,32.72,"{""SKU_8"": 7}"
ORDER_30,DC_A,39.35,59.03,"{""SKU_2"": 2}"
ORDER_31,DC_A,31.66,47.48,"{""SKU_7"": 7, ""SKU_6"": 8, ""SKU_10"": 1}"
ORDER_32,DC_D,44.12,66.18,"{""SKU_2"": 6, ""SKU_1"": 2, ""SKU_7"": 4}"
ORDER_33,DC_A,78.24,117.36,"{""SKU_4"": 9}"
ORDER_34,DC_A,162.05,243.07,"{""SKU_3"": 3, ""SKU_7"": 5}"
ORDER_35,DC_A,433.41,650.12,"{""SKU_4"": 8, ""SKU_2"": 9}"
ORDER_36,DC_D,22.15,33.23,"{""SKU_1"": 9}"
ORDER_37,DC_A,168.99,253.48,"{""SKU_2"": 4}"
ORDER_38,DC_D,130.57,195.85,"{""SKU_7"": 8}"
ORDER_39,DC_D,10.0,15.0,"{""SKU_4"": 1, ""SKU_7"": 3}"
ORDER_40,DC_A,12.32,18.47,"{""SKU_1"": 5, ""SKU_7"": 8}"
ORDER_41,DC_E,97.63,146.45,"{""SKU_7"": 8, ""SKU_9"": 3}"
ORDER_42,DC_A,10.0,15.0,"{""SKU_5"": 4}"
ORDER_43,DC_A,39.33,59.0,"{""SKU_10"": 9}"
ORDER_44,DC_D,101.49,152.23,"{""SKU_6"": 1}"
ORDER_45,DC_E,63.91,95.86,"{""SKU_10"": 8}"
ORDER_46,DC_A,124.91,187.37,"{""SKU_9"": 9, ""SKU_3"": 2, ""SKU_1"": 3}"
ORDER_47,DC_D,82.39,123.58,"{""SKU_10"": 2}"
ORDER_48,DC_D,68.08,102.12,"{""SKU_4"": 10, ""SKU_7"": 4, ""SKU_2"": 10}"
ORDER_49,DC_B,55.78,83.67,"{""SKU_1"": 10, ""SKU_2"": 10, ""SKU_7"": 9}"
ORDER_50,DC_A,11.42,17.13,"{""SKU_5"": 6, ""SKU_4"": 4}"
