order_id,dc_id,cost
ORDER_1,DC_A,5.0
ORDER_1,DC_B,11.84
ORDER_1,DC_C,25.77
ORDER_1,DC_D,49.9
ORDER_1,DC_E,13.96
ORDER_2,DC_A,14.41
ORDER_2,DC_B,24.75
ORDER_2,DC_C,13.37
ORDER_2,DC_D,5.0
ORDER_2,DC_E,10.96
ORDER_3,DC_A,5.0
ORDER_3,DC_B,17.77
ORDER_3,DC_C,19.53
ORDER_3,DC_D,46.77
ORDER_3,DC_E,28.74
ORDER_4,DC_A,5.0
ORDER_4,DC_B,36.48
ORDER_4,DC_C,19.79
ORDER_4,DC_D,25.44
ORDER_4,DC_E,18.08
ORDER_5,DC_A,13.5
ORDER_5,DC_B,24.02
ORDER_5,DC_C,5.0
ORDER_5,DC_D,31.88
ORDER_5,DC_E,25.31
ORDER_6,DC_A,5.0
ORDER_6,DC_B,15.19
ORDER_6,DC_C,15.26
ORDER_6,DC_D,12.62
ORDER_6,DC_E,21.21
ORDER_7,DC_A,27.22
ORDER_7,DC_B,14.71
ORDER_7,DC_C,41.09
ORDER_7,DC_D,5.0
ORDER_7,DC_E,9.14
ORDER_8,DC_A,5.0
ORDER_8,DC_B,21.91
ORDER_8,DC_C,11.68
ORDER_8,DC_D,29.77
ORDER_8,DC_E,16.35
ORDER_9,DC_A,5.0
ORDER_9,DC_B,24.33
ORDER_9,DC_C,23.12
ORDER_9,DC_D,35.14
ORDER_9,DC_E,44.19
ORDER_10,DC_A,23.39
ORDER_10,DC_B,5.0
ORDER_10,DC_C,20.62
ORDER_10,DC_D,15.14
ORDER_10,DC_E,23.06
ORDER_11,DC_A,27.15
ORDER_11,DC_B,34.65
ORDER_11,DC_C,5.0
ORDER_11,DC_D,12.14
ORDER_11,DC_E,24.63
ORDER_12,DC_A,5.0
ORDER_12,DC_B,13.04
ORDER_12,DC_C,23.68
ORDER_12,DC_D,26.94
ORDER_12,DC_E,22.09
ORDER_13,DC_A,24.32
ORDER_13,DC_B,5.0
ORDER_13,DC_C,10.86
ORDER_13,DC_D,24.96
ORDER_13,DC_E,28.5
ORDER_14,DC_A,5.0
ORDER_14,DC_B,25.52
ORDER_14,DC_C,17.2
ORDER_14,DC_D,19.81
ORDER_14,DC_E,16.39
ORDER_15,DC_A,21.62
ORDER_15,DC_B,28.06
ORDER_15,DC_C,5.0
ORDER_15,DC_D,19.45
ORDER_15,DC_E,21.28
ORDER_16,DC_A,12.77
ORDER_16,DC_B,32.04
ORDER_16,DC_C,5.0
ORDER_16,DC_D,41.43
ORDER_16,DC_E,19.35
ORDER_17,DC_A,5.0
ORDER_17,DC_B,32.5
ORDER_17,DC_C,37.85
ORDER_17,DC_D,16.2
ORDER_17,DC_E,33.01
ORDER_18,DC_A,22.29
ORDER_18,DC_B,29.87
ORDER_18,DC_C,19.41
ORDER_18,DC_D,26.33
ORDER_18,DC_E,5.0
ORDER_19,DC_A,5.0
ORDER_19,DC_B,17.47
ORDER_19,DC_C,29.04
ORDER_19,DC_D,13.8
ORDER_19,DC_E,33.76
ORDER_20,DC_A,18.61
ORDER_20,DC_B,28.04
ORDER_20,DC_C,5.0
ORDER_20,DC_D,45.91
ORDER_20,DC_E,34.15
ORDER_21,DC_A,5.0
ORDER_21,DC_B,21.92
ORDER_21,DC_C,14.81
ORDER_21,DC_D,23.7
ORDER_21,DC_E,25.4
ORDER_22,DC_A,5.0
ORDER_22,DC_B,9.27
ORDER_22,DC_C,39.04
ORDER_22,DC_D,28.32
ORDER_22,DC_E,35.21
ORDER_23,DC_A,5.0
ORDER_23,DC_B,25.0
ORDER_23,DC_C,13.74
ORDER_23,DC_D,40.0
ORDER_23,DC_E,45.66
ORDER_24,DC_A,5.0
ORDER_24,DC_B,20.64
ORDER_24,DC_C,37.28
ORDER_24,DC_D,24.33
ORDER_24,DC_E,18.93
ORDER_25,DC_A,15.01
ORDER_25,DC_B,5.0
ORDER_25,DC_C,25.98
ORDER_25,DC_D,24.62
ORDER_25,DC_E,29.79
ORDER_26,DC_A,29.88
ORDER_26,DC_B,30.89
ORDER_26,DC_C,21.42
ORDER_26,DC_D,28.54
ORDER_26,DC_E,5.0
ORDER_27,DC_A,23.56
ORDER_27,DC_B,29.48
ORDER_27,DC_C,16.85
ORDER_27,DC_D,20.22
ORDER_27,DC_E,5.0
ORDER_28,DC_A,27.95
ORDER_28,DC_B,9.98
ORDER_28,DC_C,5.0
ORDER_28,DC_D,13.66
ORDER_28,DC_E,15.92
ORDER_29,DC_A,5.0
ORDER_29,DC_B,19.27
ORDER_29,DC_C,17.85
ORDER_29,DC_D,27.11
ORDER_29,DC_E,15.35
ORDER_30,DC_A,5.0
ORDER_30,DC_B,35.07
ORDER_30,DC_C,33.99
ORDER_30,DC_D,17.13
ORDER_30,DC_E,44.9
ORDER_31,DC_A,5.0
ORDER_31,DC_B,30.74
ORDER_31,DC_C,44.02
ORDER_31,DC_D,17.89
ORDER_31,DC_E,20.7
ORDER_32,DC_A,36.51
ORDER_32,DC_B,39.6
ORDER_32,DC_C,51.26
ORDER_32,DC_D,5.0
ORDER_32,DC_E,35.11
ORDER_33,DC_A,5.0
ORDER_33,DC_B,30.34
ORDER_33,DC_C,13.5
ORDER_33,DC_D,20.54
ORDER_33,DC_E,15.28
ORDER_34,DC_A,5.0
ORDER_34,DC_B,18.89
ORDER_34,DC_C,24.22
ORDER_34,DC_D,30.88
ORDER_34,DC_E,30.24
ORDER_35,DC_A,5.0
ORDER_35,DC_B,14.81
ORDER_35,DC_C,23.28
ORDER_35,DC_D,19.56
ORDER_35,DC_E,8.15
ORDER_36,DC_A,23.97
ORDER_36,DC_B,18.99
ORDER_36,DC_C,13.82
ORDER_36,DC_D,5.0
ORDER_36,DC_E,32.48
ORDER_37,DC_A,5.0
ORDER_37,DC_B,15.95
ORDER_37,DC_C,39.2
ORDER_37,DC_D,37.43
ORDER_37,DC_E,13.37
ORDER_38,DC_A,37.25
ORDER_38,DC_B,36.58
ORDER_38,DC_C,30.33
ORDER_38,DC_D,5.0
ORDER_38,DC_E,18.43
ORDER_39,DC_A,22.21
ORDER_39,DC_B,22.05
ORDER_39,DC_C,37.22
ORDER_39,DC_D,5.0
ORDER_39,DC_E,32.65
ORDER_40,DC_A,5.0
ORDER_40,DC_B,13.79
ORDER_40,DC_C,14.52
ORDER_40,DC_D,12.73
ORDER_40,DC_E,21.73
ORDER_41,DC_A,19.08
ORDER_41,DC_B,31.08
ORDER_41,DC_C,11.22
ORDER_41,DC_D,28.1
ORDER_41,DC_E,5.0
ORDER_42,DC_A,5.0
ORDER_42,DC_B,38.31
ORDER_42,DC_C,28.76
ORDER_42,DC_D,34.29
ORDER_42,DC_E,14.75
ORDER_43,DC_A,5.0
ORDER_43,DC_B,25.12
ORDER_43,DC_C,28.54
ORDER_43,DC_D,29.88
ORDER_43,DC_E,19.95
ORDER_44,DC_A,19.57
ORDER_44,DC_B,15.49
ORDER_44,DC_C,20.56
ORDER_44,DC_D,5.0
ORDER_44,DC_E,34.33
ORDER_45,DC_A,16.25
ORDER_45,DC_B,16.32
ORDER_45,DC_C,18.07
ORDER_45,DC_D,28.36
ORDER_45,DC_E,5.0
ORDER_46,DC_A,5.0
ORDER_46,DC_B,11.27
ORDER_46,DC_C,17.32
ORDER_46,DC_D,20.81
ORDER_46,DC_E,21.93
ORDER_47,DC_A,30.32
ORDER_47,DC_B,20.95
ORDER_47,DC_C,18.14
ORDER_47,DC_D,5.0
ORDER_47,DC_E,21.43
ORDER_48,DC_A,24.33
ORDER_48,DC_B,41.22
ORDER_48,DC_C,20.57
ORDER_48,DC_D,5.0
ORDER_48,DC_E,20.36
ORDER_49,DC_A,32.78
ORDER_49,DC_B,5.0
ORDER_49,DC_C,47.67
ORDER_49,DC_D,16.54
ORDER_49,DC_E,23.27
ORDER_50,DC_A,5.0
ORDER_50,DC_B,9.08
ORDER_50,DC_C,11.31
ORDER_50,DC_D,39.03
ORDER_50,DC_E,16.49
